target,size,n,model,calibration,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count,log_loss_mean,log_loss_std,log_loss_count
recurrence,50,50,lightgbm,raw,0.5768976897689769,0.06480876478684712,10,0.3331354892072346,0.06996583756062509,10,0.20382021029285108,0.024265371711976864,10,0.14687350149743109,0.0527058222732574,10,0.6578977945651757,0.11972068738248379,10
recurrence,50,50,lightgbm,calibrated,0.5183618361836183,0.1251630276880604,5,0.2926488975773563,0.10012391121074751,5,0.18570827963922518,0.00720316935474669,5,0.042646423503191574,0.022075047563222736,5,0.5599696034241236,0.021056628698129937,5
recurrence,50,50,logistic,raw,0.590999099909991,0.06933583087707329,10,0.39095355023791933,0.08916277544288422,10,0.18869117163497456,0.017719808356035042,10,0.07554339135546426,0.060078008459608555,10,0.6100422120665039,0.1361173082271548,10
recurrence,50,50,logistic,calibrated,0.6256225622562257,0.0408616191270833,5,0.43058852703429445,0.047797080802517926,5,0.18039469798459298,0.0047098017332905615,5,0.04455009060193367,0.01872078161162566,5,0.5454675275017472,0.010432829305468426,5
recurrence,50,50,rf,raw,0.6229372937293729,0.07028171244659381,10,0.40428689776563376,0.1083897337071463,10,0.1788270581986064,0.011546062745887,10,0.06639054938130637,0.021205073412729324,10,0.5437939284664616,0.027861755253677886,10
recurrence,50,50,rf,calibrated,0.6701770177017702,0.04703760979494679,5,0.4647977491035917,0.08127693515216396,5,0.17702602863404454,0.007877676394108767,5,0.04430144282769925,0.018183959841393725,5,0.5370856513119511,0.018505948515579157,5
recurrence,50,50,rf_smote,raw,0.594029402940294,0.079826176032388,10,0.3552354084802437,0.08833060138447321,10,0.19163812558401,0.015387829631443958,10,0.10502436633006773,0.028965692729741706,10,0.5711222776597042,0.03317766629694079,10
recurrence,50,50,rf_smote,calibrated,0.5825982598259826,0.1325479361038244,5,0.3473579675824384,0.11916854362615095,5,0.1817669426943766,0.007307487597394639,5,0.04647949825354407,0.020443146842353495,5,0.5484499724185452,0.019678971105202867,5
recurrence,50,50,tabpfn,raw,0.6592859285928593,0.04987365488327946,10,0.4622653753589484,0.09263558815513993,10,0.17231305261685925,0.008379159706364134,10,0.06246312806771984,0.026731952243968477,10,0.528417130228648,0.018690192254061672,10
recurrence,50,50,tabpfn,calibrated,0.5368136813681368,0.21957824445728166,5,0.40784506158100775,0.20800001222458267,5,0.17916170344025206,0.013370893757241915,5,0.05848448071958283,0.033127485812487346,5,0.5458347345969783,0.02896569726951922,5
recurrence,50,50,xgboost,raw,0.5786078607860786,0.06386881715178867,10,0.32206883301519496,0.06500581268449283,10,0.20203399040178027,0.016963925587474005,10,0.1299582966811844,0.04577936923153742,10,0.6356868526473831,0.058087462922619924,10
recurrence,50,50,xgboost,calibrated,0.5164116411641164,0.10260859417921411,5,0.2712171704042524,0.06077054036698791,5,0.1880123053862181,0.003881626244266303,5,0.041500460844686435,0.02772234137200607,5,0.5659597199776405,0.012837640459505308,5
recurrence,Full,533,lightgbm,raw,0.7343234323432344,0.01538415847876303,10,0.6458176824679722,0.024107492849693112,10,0.13814127226878756,0.005501818508614879,10,0.08505773235869721,0.008701790544281544,10,0.4580276274753576,0.01738340516383869,10
recurrence,Full,533,lightgbm,calibrated,0.7276327632763276,0.015017093605786064,5,0.636331114130993,0.024969898115026562,5,0.1436350284205744,0.0038674329189329094,5,0.07180110822904755,0.009591378082729054,5,0.4646948656543051,0.009827331097233709,5
recurrence,Full,533,logistic,raw,0.788958895889589,0.009855121699578744,10,0.6662657194938234,0.014974395402786517,10,0.1371136897382274,0.008004272365803256,10,0.0716720871208789,0.015800912890131497,10,0.44992137776519864,0.03632292147748895,10
recurrence,Full,533,logistic,calibrated,0.786918691869187,0.01117465763886926,5,0.6631657251319922,0.016979368401138013,5,0.13852349235269312,0.0046339244044079205,5,0.05820325265440683,0.009315144626486438,5,0.44231951275023745,0.013131654383765557,5
recurrence,Full,533,rf,raw,0.772037203720372,0.009519933031208365,10,0.7074930418865111,0.014943217324782624,10,0.1416800952286227,0.005159513054742951,10,0.11456243193905384,0.021599312033408608,10,0.45865548740163165,0.009357215314644712,10
recurrence,Full,533,rf,calibrated,0.7712271227122713,0.011717506501757256,5,0.7077587564005544,0.020521715086319992,5,0.1354368754849103,0.003802064369008708,5,0.10227203099290294,0.021710542259568186,5,0.4484919773397603,0.006883130717975511,5
recurrence,Full,533,rf_smote,raw,0.7850135013501351,0.01593025430000043,10,0.6784240451581263,0.013475735778751703,10,0.1472223471451652,0.003657131242759847,10,0.1398740593921961,0.01208758658645867,10,0.4715725146967825,0.009387157419160264,10
