target,size,n,seed,model,calibration,roc_auc,average_precision,brier,ece,log_loss,elapsed_seconds,selected
recurrence,Full,533,44,lightgbm,calibrated,0.753975397539754,0.6806382806542974,0.13716421652851318,0.07584737279564359,0.44775656747336373,0.42397762509062886,0
recurrence,Full,533,44,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431971674,0.0618587879083978,0.42736270035152363,0.04618012486025691,2
recurrence,Full,533,44,logistic,calibrated,0.7950795079507951,0.6755657025793171,0.13377197996612158,0.05631951497416234,0.42923246609356647,0.04618012486025691,2
recurrence,Full,533,44,rf,raw,0.7524752475247526,0.6735305612403549,0.1321500778528012,0.07327321042004963,0.4375603425891349,2.800534542184323,2
recurrence,Full,533,44,rf,calibrated,0.7524752475247526,0.6735305612403549,0.13226079417684877,0.06907655169163945,0.4380742928227437,2.800534542184323,2
recurrence,Full,533,44,rf_smote,raw,0.7818781878187819,0.6924232898142717,0.14942186546362768,0.15760269984272066,0.47861764854178523,3.5180701250210404,1
recurrence,Full,533,44,rf_smote,calibrated,0.7818781878187819,0.6924232898142717,0.13800266104803655,0.10145665066776803,0.4484230906402374,3.5180701250210404,1
recurrence,Full,533,44,tabpfn,raw,0.7890789078907892,0.7084192098903732,0.12415959948093053,0.05662244858581628,0.40734475299725803,13.638188417069614,0
recurrence,Full,533,44,tabpfn,calibrated,0.7890789078907892,0.7084192098903732,0.12387385044537678,0.05913169382224652,0.40609179542402457,13.638188417069614,0
recurrence,Full,533,44,xgboost,raw,0.7500750075007501,0.6690935469210616,0.13535118161426582,0.0918918892240791,0.4446923604507668,0.4129910417832434,2
recurrence,Full,533,44,xgboost,calibrated,0.7500750075007501,0.6690935469210616,0.13633979602499235,0.059879527489317255,0.44609491550341546,0.4129910417832434,2
recurrence,Full,533,45,lightgbm,raw,0.7221722172217223,0.6250984879307605,0.14249949856030297,0.09843405200781229,0.47254016455949455,0.46065337490290403,3
recurrence,Full,533,45,lightgbm,calibrated,0.7221722172217223,0.6250984879307605,0.14462145192004366,0.08457740670127553,0.46736829042318995,0.46065337490290403,3
recurrence,Full,533,45,logistic,raw,0.7746774677467747,0.6445657589610048,0.14871297758781957,0.09456978741170284,0.502558283173783,0.048676584381610155,3
recurrence,Full,533,45,logistic,calibrated,0.7746774677467747,0.6445657589610048,0.14298782662133716,0.047350662901029746,0.4552664664065963,0.048676584381610155,3
recurrence,Full,533,45,rf,raw,0.7718271827182719,0.7035068361529206,0.14065663349917085,0.11843283582089549,0.45877652150601894,2.5463082077912986,0
